CurrencySymbol,CurrencyName,Explorer,Decimals,PARTNER,Other
FLVR,Flavors,https://bscscan.com/token/0xF1a45E52d6d11D0e591d4F18DA9D88a4c266b300,9,,
FLX,Reflexer Ungovernance Token,https://etherscan.io/token/0x6243d8cea23066d098a15582d81a598b4e8391f4,18,,
FNDZ,FNDZ Token,https://bscscan.com/token/0x7754c0584372D29510C019136220f91e25a8f706,18,,
FORCER,Forcer,https://etherscan.io/token/0xC1fB6C015fC535aBD331D3029De76a62e412Fb23,4,,
FOX,ShapeShift FOX Token,https://etherscan.io/token/0xc770eefad204b5180df6a14ee197d99d808ee52d,18,,
FRONT,Frontier,https://etherscan.io/token/0xf8C3527CC04340b208C854E985240c02F7B7793f,18,,
FT,Crypto Family Token,https://bscscan.com/token/0x155488a3c962e052c15f9de0f8ee2aae51515747,10,,
GAME,GameCredits,https://etherscan.io/token/0x63f88A2298a5c4AEE3c216Aa6D926B184a4b2437,18,,
GATS,GATS,https://etherscan.io/token/0x4bA93f83b131C2450D5bC1982E3F2a1751Aa8E41,4,,
GBYTE,Obyte,https://coinmarketcap.com/currencies/obyte/,9,,
GCASH,Gcash,https://etherscan.io/token/0xc53f6c2ac35d30cc47ddf3c320874b21dfa38791,4,,
GEN,DAOstack,https://etherscan.io/token/0x543ff227f64aa17ea132bf9886cab5db55dcaddf,18,,
GERT,gertcoin,https://bscscan.com/token/0x29deB024511cDA0F85A5D9a53D160c56F2c96417,18,,
GHST,GHST Token,https://etherscan.io/token/0x3f382dbd960e3a9bbceae22651e88158d2791550,18,,
GIN,GINcoin,https://bitcointalk.org/index.php?topic=2998031.0,8,,
GLXY,Galaxy Coin,https://polygonscan.com/token/0x438374ea6e7aafee3be6f925ba50071dd22ed70b,18,,
GOAT,Goatcoin,https://bscscan.com/token/0x7c67dccb04b67d4666fd97b2a00bb6d9b8d82e3f,18,,
GORE,GORE,https://etherscan.io/token/0xa5f17f8270d9576ea0ab11d49ddf51555fc8be50,18,,
GORN,Gorn,https://etherscan.io/token/0x5B9DeCe6E8E703BFfC25E794e6f5DfaEbd26D543,4,,
GOU,Gou,https://etherscan.io/token/0xb19977b23b40d59254b8f5a0bdb67076b4fa0bc6,4,,
GPL,Gold Pressed Latinum,https://etherscan.io/token/0xeeddaa78e0b2de769e969bd049c8faff3280df97,18,,
GRAIN,GRAIN Token,https://etherscan.io/token/0x6589fe1271a0f29346796c6baf0cdf619e25e58e,18,,
GREEN,GREEN,https://etherscan.io/token/0x9CF140FEB1109dd6E5a602C17a7A5aEd9a9b1DdC,4,,
GTT,Guppy Treat Token,https://polygonscan.com/token/0xB5cB47A8f85628dea29AC7153544867e87Ae6937,4,,
GUILD,BlockchainSpace,https://etherscan.io/token/0x83e9f223e1edb3486f876ee888d76bfba26c475a,18,,
gvVALUEB,GovVault Value,https://bscscan.com/token/0x0610c2d9f6ebc40078cf081e2d1c4252dd50ad15,18,,
GYSR,Geyser,https://etherscan.io/token/0xbea98c05eeae2f3bc8c3565db7551eb738c8ccab,18,,
H4G,Hodl4Gold,https://bscscan.com/token/0xE8c4bEce93084D649fB630886b5332942b643BB9,9,,
HALO,Angel Protocol,https://app-classic.terraswap.io/pairs/terra1syp7rzmgtp9r6m4qlhu9x6luh4ltqyglkd22u3,6,,
HBD,Hive Dollar,https://hive-engine.com/trade/SWAP.HBD,3,,
HC,#HumbleCoin,https://bscscan.com/token/0xf65e64f2a7a625fbd5635dca9487244bc1983a84,18,<@450368405464154112>,
HERO,HERO,https://etherscan.io/token/0x862caA11AbE48c945D5361E80EaF19348C479240,4,,
HEX,HEX,https://etherscan.io/token/0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,8,,
HGH,Matic Mike Juice,https://polygonscan.com/token/0xE97a60f5D34dA4f68bc1f1b9CE2C19Ec1A33E928,18,,
HIVE,Hive,https://coinmarketcap.com/currencies/hive-blockchain/,3,,
HMMM,Hmmm,https://bscscan.com/token/0x88Cf50037f8069071Cd56f641a81b369a5Fd3a42,9,,
HND,Hundred Finance,https://etherscan.io/token/0x10010078a54396f62c96df8532dc2b4847d47ed3,18,,
HNY,Honey,https://gnosisscan.io/token/0x71850b7E9Ee3f13Ab46d67167341E4bDc905Eef9,18,,
HOGE,Hoge Finance,https://etherscan.io/token/0xfad45e47083e4607302aa43c65fb3106f1cd7607,9,,
HONEYD,Honey Deluxe,https://etherscan.io/token/0x40615B82999b8aa46803F11493BeDAB0314EB5E7,18,,
HOWL,Howl,https://etherscan.io/token/0xd1dc64b4bdaab103a72bf4778a33740704aff380,4,,
HPS,Happiness Token,https://bscscan.com/token/0xeda21b525ac789eab1a08ef2404dd8505ffb973d,18,,
HUE,Hue,https://etherscan.io/token/0xdcfe18bc46f5a0cd0d3af0c2155d2bcb5ade2fc5,4,,
HUSH,Hush,https://coinmarketcap.com/currencies/hush/,8,,
HYP,Hypno,https://etherscan.io/token/0x93e4277fd2552922d8668153d0432abc5fbf3994,18,,
ICAP,Invictus Capital Token,https://etherscan.io/token/0xd83C569268930fadAd4cdE6D0cB64450fef32b65,18,,
ICE,Iron Finance,https://polygonscan.com/token/0x4A81f8796e0c6Ad4877A51C86693B0dE8093F2ef,18,,
ICHI,ICHI,https://etherscan.io/token/0x111111517e4929D3dcbdfa7CCe55d30d4B6BC4d6,18,,
IGNT,Ignite Token,https://bscscan.com/token/0x7DA1aBb446c735E2064464b1d125834857dDEE7F,18,,
IHF,Invictus Hyperion Fund,https://etherscan.io/token/0xaf1250fa68d7decd34fd75de8742bc03b29bd58e,18,,
ILV,Illuvium,https://etherscan.io/token/0x767fe9edc9e0df98e07454847909b5e959d7ca0e,18,,
INFO,Infomatix,https://bscscan.com/token/0xdf727040d3997b5d95dee8c661fa96e3c13ee0c9,18,,
INI,Initia,https://etherscan.io/token/0xb5fDe360d9d6D4Dddf6093a39F725081F9C601ae,4,,
INKz,INKz,https://etherscan.io/token/0xd0c37cda48fe5d6ee7132181a90dc58206db5404,18,,
JBX,Juicebox,https://etherscan.io/token/0x3abf2a4f8452ccc2cf7b4c1e4663147600646f66,18,,
jEUR,Jarvis Synthetic Euro,https://etherscan.io/token/0x0f17bc9a994b87b5225cfb6a2cd4d667adb4f20b,18,,
JOE,JOE,https://snowtrace.io/token/0x6e84a6216eA6dACC71eE8E6b0a5B7322EEbC0fDd,18,,
JPX,Japan Excitement Coin,https://etherscan.io/token/0xcd56fC21564FBA45c17D0BF663CCED37f5E22d7e,4,,
JRT,Jarvis Reward Token,https://etherscan.io/token/0x8a9c67fee641579deba04928c4bc45f66e26343a,18,,
JUP,Jupiter,https://bscscan.com/token/0x0231f91e02debd20345ae8ab7d71a41f8e140ce7,18,,
KAMA,KamaGang Community Token,https://etherscan.io/token/0x655217999cbe2f025b1c4036a573fcc1bdd1bae8,18,,
KANDA,Telokanda,https://hive-engine.com/trade/KANDA,8,,
KANGG,Kangdom,https://etherscan.io/token/0x785AfB6062004F52A1d6A4323860e56803bc14D0,4,,
KBN,Koban,https://bscscan.com/token/0x030708208dc29b1688b212081f31cdb59097a67d,18,,
KITTY,Kitty Coin,https://polygonscan.com/token/0xb4228798fF437ecD8fa43429664e9992256fe6Ac,18,,
KMD,Komodo,https://coinmarketcap.com/currencies/komodo/,8,,
KRT,TerraKRW,https://app-classic.terraswap.io/pairs/terra1erfdlgdtt9e05z0j92wkndwav4t75xzyapntkv,6,,
